id,player_name,game_date,opponent_team,is_home,prop_type,actual_result,closing_line
14551,"Karl-Anthony Towns",2026-01-27,SAC,1,pr,28.0,
14550,"Karl-Anthony Towns",2026-01-27,SAC,1,pra,32.0,
14553,"Karl-Anthony Towns",2026-01-27,SAC,1,ra,15.0,
14548,"Karl-Anthony Towns",2026-01-27,SAC,1,rebounds,11.0,
14556,"Karl-Anthony Towns",2026-01-24,PHI,0,assists,1.0,
14559,"Karl-Anthony Towns",2026-01-24,PHI,0,pa,11.0,
14554,"Karl-Anthony Towns",2026-01-24,PHI,0,points,10.0,
14558,"Karl-Anthony Towns",2026-01-24,PHI,0,pr,16.0,
14557,"Karl-Anthony Towns",2026-01-24,PHI,0,pra,17.0,
14560,"Karl-Anthony Towns",2026-01-24,PHI,0,ra,7.0,
14555,"Karl-Anthony Towns",2026-01-24,PHI,0,rebounds,6.0,
14563,"Karl-Anthony Towns",2026-01-21,BKN,1,assists,3.0,
14566,"Karl-Anthony Towns",2026-01-21,BKN,1,pa,17.0,
14561,"Karl-Anthony Towns",2026-01-21,BKN,1,points,14.0,
14565,"Karl-Anthony Towns",2026-01-21,BKN,1,pr,22.0,
14564,"Karl-Anthony Towns",2026-01-21,BKN,1,pra,25.0,
14567,"Karl-Anthony Towns",2026-01-21,BKN,1,ra,11.0,
14562,"Karl-Anthony Towns",2026-01-21,BKN,1,rebounds,8.0,
